epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1693.16,0.06762,0.42292,0.87865,0.85494,0.86429,0.93773,0.93424,0.10333,0.41516,0.11822,0.0007294,0.0007294,0.0007294
43,1733.41,0.06616,0.43531,0.87894,0.81774,0.9153,0.93198,0.93047,0.09127,0.44692,0.11267,0.0007228,0.0007228,0.0007228
44,1773.44,0.06882,0.44482,0.87486,0.87162,0.88574,0.96079,0.95986,0.10239,0.36805,0.11485,0.0007162,0.0007162,0.0007162
45,1813.64,0.06999,0.42909,0.87762,0.76897,0.77366,0.8577,0.8577,0.11199,0.58022,0.13155,0.0007096,0.0007096,0.0007096
46,1853.74,0.06569,0.41889,0.86764,0.86724,0.86575,0.93946,0.93878,0.10467,0.4046,0.12007,0.000703,0.000703,0.000703
47,1893.79,0.06503,0.40895,0.87749,0.87935,0.85903,0.93761,0.93183,0.11367,0.35909,0.12231,0.0006964,0.0006964,0.0006964
48,1933.98,0.06231,0.40561,0.87471,0.89836,0.86509,0.92441,0.92333,0.10547,0.38807,0.12138,0.0006898,0.0006898,0.0006898
49,1974.18,0.06154,0.39583,0.87307,0.89077,0.87562,0.93947,0.93451,0.12529,0.34556,0.13633,0.0006832,0.0006832,0.0006832
50,2014.32,0.0645,0.39577,0.87177,0.9333,0.89892,0.96627,0.96506,0.09158,0.26787,0.10106,0.0006766,0.0006766,0.0006766
51,2054.61,0.0658,0.39872,0.87252,0.91713,0.89913,0.96667,0.96588,0.0928,0.31005,0.10991,0.00067,0.00067,0.00067
52,2094.91,0.06414,0.39778,0.87773,0.92202,0.90066,0.95331,0.9528,0.0858,0.31261,0.09851,0.0006634,0.0006634,0.0006634
53,2135.04,0.06143,0.37226,0.87455,0.90721,0.89717,0.95206,0.95068,0.11085,0.34284,0.12216,0.0006568,0.0006568,0.0006568
54,2175.25,0.0591,0.38129,0.87491,0.89293,0.92935,0.95525,0.95447,0.11718,0.28486,0.12872,0.0006502,0.0006502,0.0006502
55,2215.67,0.0618,0.39035,0.87662,0.92746,0.86502,0.95386,0.94726,0.13454,0.33677,0.14116,0.0006436,0.0006436,0.0006436
56,2256,0.06248,0.37627,0.87718,0.94648,0.87936,0.95573,0.95264,0.11308,0.2749,0.11815,0.000637,0.000637,0.000637
57,2296.14,0.06115,0.37083,0.87315,0.9063,0.87366,0.9528,0.95196,0.12638,0.41653,0.12749,0.0006304,0.0006304,0.0006304
58,2336.34,0.0585,0.37832,0.8715,0.87379,0.82103,0.93729,0.9366,0.08672,0.47523,0.10278,0.0006238,0.0006238,0.0006238
59,2376.43,0.05927,0.37554,0.87185,0.94847,0.91796,0.97621,0.97043,0.1227,0.2511,0.12926,0.0006172,0.0006172,0.0006172
60,2416.56,0.05847,0.36998,0.8756,0.9151,0.93188,0.97156,0.9702,0.10438,0.30335,0.11472,0.0006106,0.0006106,0.0006106
61,2456.66,0.05648,0.36274,0.86927,0.92554,0.88145,0.96411,0.96277,0.11178,0.28017,0.11481,0.000604,0.000604,0.000604
62,2496.66,0.05466,0.35753,0.87082,0.94059,0.91687,0.97166,0.97034,0.09365,0.29124,0.1102,0.0005974,0.0005974,0.0005974
63,2536.7,0.05457,0.34373,0.87027,0.90057,0.90352,0.95324,0.95231,0.10934,0.27991,0.11939,0.0005908,0.0005908,0.0005908
64,2576.84,0.05535,0.34995,0.87005,0.91008,0.91241,0.94391,0.94189,0.07824,0.2864,0.09637,0.0005842,0.0005842,0.0005842
65,2616.99,0.05622,0.35087,0.86907,0.90939,0.93235,0.95885,0.95854,0.06754,0.27213,0.09137,0.0005776,0.0005776,0.0005776
66,2657.07,0.05534,0.35592,0.87811,0.91346,0.90142,0.95948,0.95655,0.08477,0.26729,0.10333,0.000571,0.000571,0.000571
